Var1,preferred
Action & Adventure,
Anime Features,
Anime Series,1
British TV Shows,
Children & Family Movies,
Classic & Cult TV,
Classic Movies,
Comedies,
Crime TV Shows,
Cult Movies,
Documentaries,
Docuseries,
Dramas,
Faith & Spirituality,
Horror Movies,
Independent Movies,
International Movies,
International TV Shows,
Kids' TV,
Korean TV Shows,1
LGBTQ Movies,
Movies,
Music & Musicals,
Reality TV,1
Romantic Movies,1
Romantic TV Shows,1
Sci-Fi & Fantasy,1
Science & Nature TV,
Spanish-Language TV Shows,
Sports Movies,
Stand-Up Comedy,
Stand-Up Comedy & Talk Shows,
Teen TV Shows,
Thrillers,1
TV Action & Adventure,
TV Comedies,
TV Dramas,
TV Horror,
TV Mysteries,
TV Sci-Fi & Fantasy,
TV Shows,
TV Thrillers,
